t,dtMs,drawCalls,setPass,batches,bullets
7.910,5.60,299,33,299,270
7.915,5.67,302,33,302,272
7.921,5.97,304,33,304,275
7.926,4.92,307,33,307,278
7.932,5.65,310,33,310,280
7.937,5.18,312,33,312,282
7.942,4.61,314,33,314,285
7.947,5.27,317,33,317,287
7.952,5.45,318,32,318,289
7.959,6.40,320,32,320,292
7.964,5.73,323,32,323,295
7.972,7.54,326,32,326,297
7.979,6.77,328,32,328,300
7.984,5.55,331,32,331,304
7.990,5.34,335,32,335,306
7.996,6.31,337,32,337,308
8.001,5.49,339,32,339,311
8.006,4.76,342,32,342,314
8.011,5.27,345,32,345,316
8.016,4.76,347,32,347,318
8.022,5.28,349,32,349,320
8.029,7.15,351,32,351,323
8.035,6.38,354,32,354,326
8.041,5.82,357,32,357,329
8.047,6.48,360,32,360,331
8.052,4.87,362,32,362,334
8.058,6.17,365,32,365,337
8.064,5.24,368,32,368,339
8.069,5.41,369,32,369,342
8.074,5.43,372,32,372,344
8.080,5.27,373,32,373,347
8.134,54.67,376,32,376,349
8.140,5.78,378,32,378,374
8.145,5.16,399,32,399,376
8.150,5.00,401,32,401,378
8.156,5.19,402,32,402,381
8.161,5.57,404,32,404,383
8.168,6.58,406,32,406,386
8.174,5.99,409,32,409,389
8.179,5.70,412,32,412,391
8.186,6.30,414,32,414,394
8.191,5.80,416,32,416,397
8.198,6.23,418,32,418,399
8.204,5.78,420,32,420,402
8.209,5.68,423,32,423,405
8.215,6.22,426,32,426,407
8.221,5.27,426,32,426,410
8.226,5.61,429,32,429,412
8.233,6.88,431,32,431,415
8.240,6.41,434,32,434,418
8.247,6.96,437,32,437,421
8.253,6.90,439,32,439,424
8.260,6.22,440,32,440,427
8.265,5.85,443,32,443,430
8.271,5.40,446,32,446,433
8.277,5.62,447,32,447,435
8.282,5.15,446,32,446,438
8.287,5.07,448,32,448,440
8.293,5.89,450,32,450,442
8.298,5.29,452,32,452,445
8.303,5.22,454,32,454,447
8.309,6.11,456,32,456,449
8.314,5.11,456,32,456,452
8.320,5.92,459,32,459,455
8.327,6.70,460,32,460,457
8.333,5.75,462,32,462,460
8.339,6.49,464,32,464,463
8.345,5.69,464,32,464,466
8.350,5.12,467,32,467,468
8.356,6.08,469,32,469,471
8.362,6.06,470,32,470,473
8.368,5.68,471,32,471,476
8.374,5.66,474,32,474,479
8.380,6.81,477,32,477,481
8.435,54.97,477,32,477,484
8.442,6.56,479,32,479,509
8.448,5.86,487,32,487,512
8.454,6.46,487,32,487,515
8.460,6.16,489,32,489,517
8.465,5.05,491,32,491,520
8.471,5.12,493,32,493,523
8.477,6.74,495,32,495,525
8.491,13.27,496,32,496,528
8.497,6.37,497,32,497,534
8.502,5.43,499,32,499,537
8.508,5.54,501,32,501,539
8.514,5.66,502,32,502,542
8.519,5.62,505,32,505,544
8.526,6.54,506,32,506,547
8.533,6.98,506,32,506,550
8.539,6.23,507,32,507,553
8.545,5.80,507,32,507,556
8.550,5.27,507,32,507,558
8.557,7.46,506,32,506,561
8.563,5.48,507,32,507,564
8.569,6.03,510,32,510,566
8.575,6.35,512,32,512,569
8.581,5.94,515,32,515,572
8.587,5.96,518,32,518,575
8.593,5.60,519,32,519,577
8.598,5.66,520,32,520,580
8.604,5.31,523,33,523,582
8.609,5.37,523,33,523,585
8.616,6.45,526,33,526,587
8.621,5.77,524,33,524,590
8.627,5.66,526,33,526,593
8.633,6.36,526,33,526,595
8.639,5.52,528,33,528,598
8.645,5.61,529,33,529,600
8.650,5.32,528,33,528,600
8.655,5.17,524,33,524,600
8.660,5.31,523,33,523,600
8.666,5.46,523,33,523,596
8.671,5.71,520,32,520,598
8.678,6.65,522,33,522,597
8.685,6.70,522,33,522,597
8.742,57.50,523,33,523,596
8.750,7.26,524,33,524,576
8.756,6.54,514,32,514,596
8.762,6.15,533,33,533,597
8.769,6.87,534,33,534,598
8.776,6.71,531,33,531,596
8.782,6.64,531,33,531,597
8.790,7.43,531,33,531,598
8.796,6.26,533,33,533,595
8.803,6.34,530,33,530,597
8.808,5.71,532,33,532,598
8.814,6.11,533,33,533,597
8.820,5.47,531,33,531,595
8.825,5.01,529,33,529,593
8.830,5.35,525,33,525,590
8.836,5.81,522,33,522,567
8.841,5.33,510,32,510,567
8.847,5.90,510,32,510,567
8.853,5.57,510,32,510,567
8.858,5.15,506,32,506,567
8.863,5.48,505,32,505,567
8.869,5.40,504,32,504,567
8.875,6.39,502,32,502,567
8.881,5.50,499,32,499,567
8.886,5.15,498,32,498,563
8.891,5.07,497,32,497,563
8.896,5.18,497,32,497,561
8.902,5.67,496,32,496,558
8.907,5.69,492,32,492,555
8.913,6.00,490,32,490,553
8.919,5.60,488,32,488,550
8.924,5.32,486,32,486,548
8.930,5.10,486,32,486,545
8.935,5.26,484,32,484,543
8.940,5.62,478,32,478,541
8.946,5.42,476,32,476,537
8.952,6.13,474,31,474,535
8.959,7.10,472,31,472,533
8.965,6.02,471,31,471,531
8.971,6.10,467,31,467,526
8.978,6.47,463,31,463,524
8.983,5.54,458,31,458,521
8.989,5.58,454,31,454,518
9.039,50.24,454,31,454,516
9.045,6.01,449,31,449,493
9.052,6.74,423,31,423,491
9.057,5.02,418,31,418,488
9.062,5.18,418,31,418,486
9.068,6.49,417,31,417,484
9.074,5.13,415,31,415,479
9.079,5.30,413,31,413,479
9.084,5.09,412,31,412,475
9.089,5.00,410,31,410,475
9.095,5.81,409,31,409,472
9.100,5.07,407,31,407,470
9.106,5.70,402,31,402,467
9.111,5.66,398,31,398,462
9.116,5.16,395,31,395,462
9.122,5.46,393,31,393,460
9.128,6.10,391,31,391,457
9.134,5.73,389,31,389,455
9.139,5.76,388,31,388,431
9.145,5.73,374,31,374,431
9.151,5.92,372,31,372,431
9.157,5.65,371,31,371,431
9.163,6.19,369,31,369,431
9.168,5.47,367,31,367,431
9.174,5.88,367,31,367,431
9.179,5.03,366,31,366,431
9.185,5.35,364,31,364,431
9.190,5.77,362,31,362,427
9.196,5.50,357,31,357,424
9.202,6.55,357,31,357,422
9.208,5.50,352,31,352,419
9.214,5.99,349,31,349,417
9.220,5.75,349,31,349,414
9.225,5.28,344,31,344,411
9.230,5.09,343,31,343,411
9.235,5.16,340,31,340,408
9.241,5.99,338,31,338,406
9.247,5.97,336,31,336,403
9.253,6.03,333,31,333,401
9.259,5.35,328,31,328,398
9.264,5.43,324,31,324,396
9.270,6.41,324,31,324,393
9.276,5.54,322,31,322,390
9.282,6.17,318,31,318,388
9.287,4.97,317,31,317,383
9.293,5.72,312,31,312,381
9.342,49.31,311,31,311,379
9.347,5.28,307,31,307,357
9.352,4.93,286,31,286,354
9.358,5.84,286,31,286,352
9.364,5.52,284,31,284,350
9.369,5.46,281,31,281,348
9.375,5.57,278,31,278,345
9.380,5.09,277,31,277,342
9.384,4.66,274,31,274,339
9.390,5.33,273,31,273,339
9.397,7.23,270,31,270,337
9.402,5.11,268,31,268,334
9.407,5.31,265,31,265,331
9.413,5.94,263,29,263,329
9.419,5.28,263,29,263,326
9.424,5.53,262,29,262,324
9.431,6.76,258,29,258,321
9.436,5.39,254,29,254,294
9.442,5.30,245,29,245,294
9.447,5.03,243,29,243,294
9.453,5.97,242,29,242,294
9.460,6.90,240,29,240,294
9.465,5.05,238,29,238,294
9.471,5.92,234,29,234,294
9.476,5.18,233,29,233,294
9.482,5.82,232,29,232,294
9.487,5.17,229,29,229,294
9.493,5.92,225,29,225,292
9.498,5.38,223,29,223,290
9.503,5.28,220,29,220,287
9.508,5.00,217,29,217,285
9.514,5.42,215,29,215,282
9.519,4.87,212,29,212,279
9.523,4.62,209,29,209,277
9.529,6.29,207,29,207,277
9.536,6.32,205,29,205,271
9.542,6.28,202,29,202,269
9.547,5.16,198,29,198,266
9.552,4.60,197,29,197,266
9.557,5.20,195,29,195,263
9.564,7.03,195,29,195,261
9.569,5.10,195,29,195,258
9.577,7.45,194,29,194,256
9.581,4.84,190,29,190,250
9.588,6.12,187,29,187,250
9.594,5.96,185,29,185,247
9.641,47.91,184,29,184,244
9.646,5.00,181,29,181,223
9.651,4.69,163,29,163,221
9.657,6.29,161,29,161,219
9.664,6.83,160,29,160,216
9.671,6.56,158,29,158,213
9.677,5.98,156,29,156,208
9.682,5.12,153,29,153,208
9.688,6.10,152,29,152,205
9.693,5.34,148,29,148,202
9.699,5.53,147,29,147,200
9.705,5.90,144,29,144,197
9.710,4.73,140,29,140,195
9.715,5.18,137,29,137,192
9.719,4.72,135,29,135,189
9.724,4.43,133,29,133,187
9.730,6.03,132,29,132,184
9.734,4.43,130,29,130,184
9.740,5.99,129,29,129,159
9.746,5.46,118,29,118,159
9.750,4.59,117,29,117,159
9.755,4.87,116,29,116,159
9.761,6.01,116,29,116,159
9.766,4.93,116,29,116,159
9.771,4.93,115,29,115,159
9.777,6.09,115,29,115,159
9.782,4.57,114,29,114,159
9.786,4.29,113,29,113,159
9.791,4.96,112,29,112,156
9.796,4.74,110,29,110,156
9.800,4.59,109,29,109,153
9.806,5.27,107,29,107,151
9.811,5.02,106,29,106,148
9.815,4.60,105,29,105,145
9.820,4.98,103,29,103,145
