t,dtMs,drawCalls,setPass,batches,bullets
9.715,5.79,30,28,30,205
9.721,6.36,30,28,30,202
9.728,6.49,30,28,30,199
9.733,5.08,30,28,30,197
9.738,5.27,30,28,30,194
9.743,4.99,30,28,30,192
9.749,5.62,30,28,30,189
9.754,5.10,30,28,30,187
9.759,5.39,30,28,30,185
9.765,5.44,30,28,30,183
9.771,6.17,30,28,30,180
9.776,4.76,30,28,30,157
9.781,5.59,30,28,30,157
9.787,5.87,30,28,30,157
9.793,5.62,30,28,30,157
9.800,7.48,30,28,30,157
9.804,4.34,30,28,30,157
9.810,5.23,30,28,30,157
9.816,6.72,30,28,30,157
9.822,5.67,30,28,30,157
9.828,6.20,30,28,30,154
9.833,4.83,30,28,30,152
9.838,5.26,30,28,30,149
9.844,5.51,30,28,30,147
9.849,5.40,30,28,30,145
9.855,5.47,30,28,30,142
9.860,5.04,30,28,30,140
9.865,5.18,30,28,30,137
9.870,5.17,30,28,30,134
9.875,5.13,30,28,30,131
9.881,5.92,30,28,30,128
9.887,5.50,30,28,30,126
9.892,5.28,30,28,30,123
9.897,5.29,30,28,30,123
9.903,5.95,30,28,30,120
9.908,5.17,30,28,30,118
9.913,4.89,30,28,30,114
9.920,6.71,30,28,30,111
